State,AccountLength,AreaCode,Phone,IntlPlan,VMailPlan,VMailMessage,DayMins,DayCalls,DayCharge,EveMins,EveCalls,EveCharge,NightMins,NightCalls,NightCharge,IntlMins,IntlCalls,IntlCharge
WY,57,408,357-3817,no,yes,39,213,115,36.209999084472656,191.10000610351562,112,16.239999771118164,182.6999969482422,115,8.220000267028809,9.5,3,2.569999933242798
MT,54,408,418-6412,no,no,0,134.3000030517578,73,22.829999923706055,155.5,100,13.220000267028809,102.0999984741211,68,4.590000152587891,14.699999809265137,4,3.9700000286102295
MO,20,415,353-2630,no,no,0,190,109,32.29999923706055,258.20001220703125,84,21.950000762939453,181.5,102,8.170000076293945,6.300000190734863,6,1.7000000476837158
IL,142,415,416-8428,no,no,0,84.80000305175781,95,14.420000076293945,136.6999969482422,63,11.619999885559082,250.5,148,11.270000457763672,14.199999809265137,6,3.8299999237060547
NH,75,510,370-3359,no,no,0,226.10000610351562,105,38.439998626708984,201.5,107,17.1299991607666,246.1999969482422,98,11.079999923706055,10.300000190734863,5,2.7799999713897705
LA,172,408,383-1121,no,no,0,212,121,36.040000915527344,31.200000762939453,115,2.6500000953674316,293.29998779296875,78,13.199999809265137,12.600000381469727,10,3.4000000953674316
AZ,12,408,360-1596,no,no,0,249.60000610351562,118,42.43000030517578,252.39999389648438,119,21.450000762939453,280.20001220703125,90,12.609999656677246,11.800000190734863,3,3.190000057220459
MA,78,415,353-3305,no,no,0,130.8000030517578,64,22.239999771118164,223.6999969482422,116,19.010000228881836,227.8000030517578,108,10.25,10,5,2.700000047683716
AK,136,415,402-1381,yes,yes,33,203.89999389648438,106,34.65999984741211,187.60000610351562,99,15.949999809265137,101.69999694824219,107,4.579999923706055,10.5,6,2.8399999141693115
GA,98,408,372-9976,no,no,0,126.30000305175781,102,21.469999313354492,166.8000030517578,85,14.180000305175781,187.8000030517578,135,8.449999809265137,9.399999618530273,2,2.5399999618530273
AR,34,510,353-7289,no,no,0,124.80000305175781,82,21.219999313354492,282.20001220703125,98,23.989999771118164,311.5,78,14.020000457763672,10,4,2.700000047683716
ID,160,415,390-7274,no,no,0,85.80000305175781,77,14.59000015258789,165.3000030517578,110,14.050000190734863,178.5,92,8.029999732971191,9.199999809265137,4,2.4800000190734863
MI,65,415,363-5450,no,no,0,211.3000030517578,120,35.91999816894531,162.60000610351562,122,13.819999694824219,134.6999969482422,118,6.059999942779541,13.199999809265137,5,3.559999942779541
DE,142,408,364-1995,no,no,0,187,133,31.790000915527344,134.60000610351562,74,11.4399995803833,242.1999969482422,127,10.899999618530273,7.400000095367432,5,2
WY,97,415,405-7146,no,yes,24,133.1999969482422,135,22.639999389648438,217.1999969482422,58,18.459999084472656,70.5999984741211,79,3.180000066757202,11,3,2.9700000286102295
IA,52,408,413-4957,no,no,0,191.89999389648438,108,32.619998931884766,269.79998779296875,96,22.93000030517578,236.8000030517578,87,10.65999984741211,7.800000190734863,5,2.109999895095825
VA,10,408,349-4396,no,no,0,186.10000610351562,112,31.639999389648438,190.1999969482422,66,16.170000076293945,282.79998779296875,57,12.729999542236328,11.399999618530273,6,3.0799999237060547
UT,96,415,404-3211,no,no,0,160.1999969482422,117,27.229999542236328,267.5,67,22.739999771118164,228.5,68,10.279999732971191,9.300000190734863,5,2.509999990463257
WY,87,415,353-3759,no,no,0,151,83,25.670000076293945,219.6999969482422,116,18.670000076293945,203.89999389648438,127,9.180000305175781,9.699999809265137,3,2.619999885559082
IN,81,408,363-5947,no,no,0,175.5,67,29.84000015258789,249.3000030517578,85,21.190000534057617,270.20001220703125,98,12.15999984741211,10.199999809265137,3,2.75
CO,141,415,340-5121,no,no,0,126.9000015258789,98,21.56999969482422,180,62,15.300000190734863,140.8000030517578,128,6.340000152587891,8,2,2.1600000858306885
WI,68,415,403-9733,no,no,0,148.8000030517578,70,25.299999237060547,246.5,164,20.950000762939453,129.8000030517578,103,5.840000152587891,12.100000381469727,3,3.2699999809265137
OK,125,408,355-7251,no,no,0,229.3000030517578,103,38.97999954223633,177.39999389648438,126,15.079999923706055,189.3000030517578,95,8.520000457763672,12,8,3.240000009536743
ID,174,408,359-5893,no,no,0,192.10000610351562,97,32.65999984741211,169.89999389648438,94,14.4399995803833,166.60000610351562,54,7.5,11.399999618530273,4,3.0799999237060547
CA,116,415,405-3371,no,yes,34,268.6000061035156,83,45.65999984741211,178.1999969482422,142,15.149999618530273,166.3000030517578,106,7.480000019073486,11.600000381469727,3,3.130000114440918
MN,74,510,344-5117,no,yes,33,193.6999969482422,91,32.93000030517578,246.10000610351562,96,20.920000076293945,138,92,6.210000038146973,14.600000381469727,3,3.940000057220459
NC,38,408,359-4081,no,no,0,131.1999969482422,98,22.299999237060547,162.89999389648438,97,13.850000381469727,159,106,7.150000095367432,8.199999809265137,6,2.2100000381469727
WA,40,415,352-8305,no,yes,41,148.10000610351562,74,25.18000030517578,169.5,88,14.40999984741211,214.10000610351562,102,9.630000114440918,6.199999809265137,5,1.6699999570846558
WY,43,415,329-9847,yes,no,0,251.5,105,42.7599983215332,212.8000030517578,104,18.09000015258789,157.8000030517578,67,7.099999904632568,9.300000190734863,4,2.509999990463257
MN,113,408,365-9011,yes,no,0,125.19999694824219,93,21.280000686645508,206.39999389648438,119,17.540000915527344,129.3000030517578,139,5.820000171661377,8.300000190734863,8,2.240000009536743
UT,126,408,338-9472,no,no,0,211.60000610351562,70,35.970001220703125,216.89999389648438,80,18.440000534057617,153.5,60,6.909999847412109,7.800000190734863,1,2.109999895095825
TX,150,510,374-8042,no,no,0,178.89999389648438,101,30.40999984741211,169.10000610351562,110,14.369999885559082,148.60000610351562,100,6.690000057220459,13.800000190734863,3,3.7300000190734863
MN,162,510,413-7170,no,yes,46,224.89999389648438,97,38.22999954223633,188.1999969482422,84,16,254.60000610351562,61,11.460000038146973,12.100000381469727,2,3.2699999809265137
NM,147,510,415-2935,no,no,0,248.60000610351562,83,42.2599983215332,148.89999389648438,85,12.65999984741211,172.5,109,7.760000228881836,8,4,2.1600000858306885
NV,90,415,399-4246,no,no,0,203.39999389648438,146,34.58000183105469,226.6999969482422,117,19.270000457763672,152.39999389648438,105,6.860000133514404,7.300000190734863,4,1.9700000286102295
MN,46,415,355-8887,no,no,0,214.10000610351562,72,36.400001525878906,164.39999389648438,104,13.970000267028809,177.5,113,7.989999771118164,8.199999809265137,3,2.2100000381469727
MD,70,408,333-1967,no,no,0,170.1999969482422,98,28.93000030517578,155.1999969482422,102,13.1899995803833,228.60000610351562,76,10.289999961853027,15,2,4.050000190734863
WV,144,415,354-4577,no,no,0,201.10000610351562,99,34.189998626708984,303.5,74,25.799999237060547,224,119,10.079999923706055,13.199999809265137,2,3.559999942779541
GA,70,415,411-1530,no,yes,24,249.5,101,42.41999816894531,259.70001220703125,98,22.06999969482422,222.6999969482422,68,10.020000457763672,9.800000190734863,4,2.6500000953674316
TX,106,510,395-3026,no,no,0,210.60000610351562,96,35.79999923706055,249.1999969482422,85,21.18000030517578,191.39999389648438,88,8.609999656677246,12.399999618530273,1,3.3499999046325684
WV,111,510,412-9997,no,no,0,214.3000030517578,118,36.43000030517578,208.5,76,17.719999313354492,182.39999389648438,98,8.210000038146973,12,2,3.240000009536743
KY,74,415,346-7302,no,yes,35,154.10000610351562,104,26.200000762939453,123.4000015258789,84,10.489999771118164,202.10000610351562,57,9.09000015258789,10.899999618530273,9,2.940000057220459
NJ,128,415,358-9095,no,no,0,237.89999389648438,125,40.439998626708984,247.60000610351562,93,21.049999237060547,208.89999389648438,68,9.399999618530273,13.899999618530273,4,3.75
LA,155,415,334-1275,no,no,0,203.39999389648438,100,34.58000183105469,190.89999389648438,104,16.229999542236328,196,119,8.819999694824219,8.899999618530273,4,2.4000000953674316
AR,80,415,340-4953,no,no,0,124.30000305175781,100,21.1299991607666,173,107,14.710000038146973,253.1999969482422,62,11.390000343322754,7.900000095367432,9,2.130000114440918
ME,78,415,400-9510,no,no,0,252.89999389648438,93,42.9900016784668,178.39999389648438,112,15.15999984741211,263.8999938964844,105,11.880000114440918,9.5,7,2.569999933242798
AZ,90,415,387-6103,no,no,0,179.10000610351562,71,30.450000762939453,190.60000610351562,81,16.200000762939453,127.69999694824219,91,5.75,10.600000381469727,7,2.859999895095825
MT,73,415,370-3450,no,no,0,160.10000610351562,110,27.219999313354492,213.3000030517578,72,18.1299991607666,174.10000610351562,72,7.829999923706055,13,4,3.509999990463257
AZ,99,415,327-3954,no,no,0,198.1999969482422,87,33.689998626708984,207.3000030517578,76,17.6200008392334,190.89999389648438,113,8.59000015258789,8.699999809265137,3,2.3499999046325684
MS,120,408,355-6291,no,no,0,212.10000610351562,131,36.060001373291016,209.39999389648438,104,17.799999237060547,167.1999969482422,96,7.519999980926514,5.300000190734863,5,1.4299999475479126
IA,98,510,379-6506,no,yes,21,161.1999969482422,114,27.399999618530273,252.1999969482422,83,21.440000534057617,160.1999969482422,92,7.210000038146973,4.400000095367432,8,1.190000057220459
MA,108,415,347-7741,no,no,0,178.3000030517578,137,30.309999465942383,189,76,16.06999969482422,129.10000610351562,102,5.809999942779541,14.600000381469727,5,3.940000057220459
VT,135,415,354-3783,no,no,0,151.6999969482422,82,25.790000915527344,119,105,10.119999885559082,180,100,8.100000381469727,10.5,6,2.8399999141693115
IN,122,408,397-4976,no,no,0,170.5,94,28.989999771118164,173.6999969482422,109,14.760000228881836,248.60000610351562,75,11.1899995803833,11.300000190734863,2,3.049999952316284
NM,93,510,383-4361,no,yes,21,117.9000015258789,131,20.040000915527344,164.5,115,13.979999542236328,217,86,9.760000228881836,9.800000190734863,3,2.6500000953674316
MA,103,415,337-4697,no,no,0,185,117,31.450000762939453,223.3000030517578,94,18.979999542236328,222.8000030517578,91,10.029999732971191,12.600000381469727,2,3.4000000953674316
AZ,63,415,407-7035,no,no,0,58.900001525878906,125,10.010000228881836,169.60000610351562,59,14.420000076293945,211.39999389648438,88,9.510000228881836,9.399999618530273,3,2.5399999618530273
ME,36,510,363-1069,yes,yes,42,196.8000030517578,89,33.459999084472656,254.89999389648438,122,21.670000076293945,138.3000030517578,126,6.21999979019165,20,6,5.400000095367432
NJ,64,510,391-4652,no,no,0,162.60000610351562,83,27.639999389648438,152.3000030517578,109,12.949999809265137,57.5,122,2.5899999141693115,14.199999809265137,3,3.8299999237060547
NV,74,415,355-6837,no,no,0,282.5,114,48.029998779296875,219.89999389648438,48,18.690000534057617,170,115,7.650000095367432,9.399999618530273,4,2.5399999618530273
MO,112,510,409-1244,no,yes,36,113.69999694824219,117,19.329999923706055,157.5,82,13.390000343322754,177.60000610351562,118,7.989999771118164,10,3,2.700000047683716
MD,121,510,369-5526,no,no,0,190.6999969482422,103,32.41999816894531,183.5,117,15.600000381469727,220.8000030517578,103,9.9399995803833,9.800000190734863,4,2.6500000953674316
MS,193,415,329-4391,no,no,0,170.89999389648438,124,29.049999237060547,132.3000030517578,95,11.25,112.9000015258789,89,5.079999923706055,11.600000381469727,3,3.130000114440918
AZ,85,408,354-4445,no,no,0,201.39999389648438,52,34.2400016784668,229.39999389648438,104,19.5,252.5,106,11.359999656677246,12,3,3.240000009536743
MS,61,510,414-8718,no,yes,27,187.5,124,31.8799991607666,146.60000610351562,103,12.460000038146973,225.6999969482422,129,10.15999984741211,6.400000095367432,6,1.7300000190734863
TX,92,408,409-5939,no,no,0,91.69999694824219,90,15.59000015258789,193.6999969482422,123,16.459999084472656,175,86,7.880000114440918,9.199999809265137,4,2.4800000190734863
NE,90,415,353-6870,no,no,0,145.5,92,24.739999771118164,217.6999969482422,114,18.5,146.89999389648438,123,6.610000133514404,10.899999618530273,2,2.940000057220459
CA,75,408,355-2909,no,no,0,166.3000030517578,125,28.270000457763672,158.1999969482422,86,13.449999809265137,256.70001220703125,80,11.550000190734863,6.099999904632568,5,1.649999976158142
AR,163,408,411-5859,no,no,0,197,109,33.4900016784668,202.60000610351562,128,17.219999313354492,206.39999389648438,80,9.289999961853027,9.100000381469727,10,2.4600000381469727
NY,75,415,374-8525,no,yes,21,175.8000030517578,97,29.889999389648438,217.5,106,18.489999771118164,237.5,134,10.6899995803833,5.300000190734863,4,1.4299999475479126
FL,91,510,379-5592,no,no,0,203.10000610351562,106,34.529998779296875,210.10000610351562,113,17.860000610351562,195.60000610351562,129,8.800000190734863,12,3,3.240000009536743
AK,127,510,345-8237,no,yes,36,183.1999969482422,117,31.139999389648438,126.80000305175781,76,10.779999732971191,263.29998779296875,71,11.850000381469727,11.199999809265137,8,3.0199999809265137
NV,113,415,422-6690,no,yes,23,205,101,34.849998474121094,152,60,12.920000076293945,158.60000610351562,59,7.139999866485596,10.199999809265137,5,2.75
DE,110,510,346-2359,no,no,0,148.5,115,25.25,276.3999938964844,84,23.489999771118164,193.60000610351562,112,8.710000038146973,12.399999618530273,3,3.3499999046325684
VT,117,408,390-2390,yes,no,0,167.10000610351562,86,28.40999984741211,177.5,87,15.09000015258789,249.39999389648438,132,11.220000267028809,14.100000381469727,7,3.809999942779541
MI,140,415,419-9097,no,no,0,231.89999389648438,101,39.41999816894531,160.10000610351562,94,13.609999656677246,110.4000015258789,98,4.96999979019165,14.300000190734863,6,3.859999895095825
LA,121,408,390-8760,no,no,0,181.5,121,30.860000610351562,218.39999389648438,98,18.559999465942383,161.60000610351562,103,7.269999980926514,8.5,5,2.299999952316284
RI,145,408,366-6730,no,yes,43,257.70001220703125,97,43.810001373291016,162.10000610351562,95,13.779999732971191,286.8999938964844,86,12.90999984741211,11.100000381469727,4,3
NE,117,415,354-3436,no,no,0,102.80000305175781,119,17.479999542236328,206.6999969482422,91,17.56999969482422,299,105,13.460000038146973,10.100000381469727,7,2.7300000190734863
OH,65,408,336-7600,no,no,0,187.89999389648438,116,31.940000534057617,157.60000610351562,117,13.399999618530273,227.3000030517578,86,10.229999542236328,7.5,6,2.0299999713897705
RI,56,415,383-6293,no,no,0,226,112,38.41999816894531,248.5,118,21.1200008392334,140.5,142,6.320000171661377,6.900000095367432,11,1.8600000143051147
OK,96,415,362-4596,no,no,0,260.3999938964844,115,44.27000045776367,146,46,12.40999984741211,269.5,87,12.130000114440918,11.5,4,3.109999895095825
LA,151,408,401-3926,no,no,0,178.6999969482422,116,30.3799991607666,292.1000061035156,138,24.829999923706055,265.8999938964844,101,11.970000267028809,9.800000190734863,4,2.6500000953674316
OH,83,415,370-9116,no,no,0,337.3999938964844,120,57.36000061035156,227.39999389648438,116,19.329999923706055,153.89999389648438,114,6.929999828338623,15.800000190734863,7,4.269999980926514
MO,6,510,350-9994,no,no,0,183.60000610351562,117,31.209999084472656,256.70001220703125,72,21.81999969482422,178.60000610351562,79,8.039999961853027,10.199999809265137,2,2.75
SC,87,415,360-5779,no,no,0,136.3000030517578,97,23.170000076293945,172.1999969482422,108,14.640000343322754,137.5,101,6.190000057220459,7.099999904632568,5,1.9199999570846558
VA,141,415,417-4885,no,no,0,217.10000610351562,110,36.90999984741211,241.5,111,20.530000686645508,253.5,103,11.40999984741211,12,6,3.240000009536743
OK,146,415,335-4584,no,no,0,206.3000030517578,151,35.06999969482422,148.60000610351562,89,12.630000114440918,167.1999969482422,91,7.519999980926514,6.099999904632568,3,1.649999976158142
DE,92,415,361-9845,no,yes,33,243.10000610351562,92,41.33000183105469,213.8000030517578,92,18.170000076293945,228.6999969482422,104,10.289999961853027,12.100000381469727,2,3.2699999809265137
DC,148,415,329-9364,no,no,0,202,102,34.34000015258789,243.1999969482422,128,20.670000076293945,261.29998779296875,90,11.760000228881836,10.899999618530273,3,2.940000057220459
AZ,94,408,390-7434,no,yes,38,170.10000610351562,124,28.920000076293945,193.3000030517578,116,16.43000030517578,105.9000015258789,73,4.769999980926514,12.800000190734863,4,3.4600000381469727
AL,32,510,404-9680,no,no,0,230.89999389648438,87,39.25,187.39999389648438,90,15.930000305175781,154,53,6.929999828338623,6.300000190734863,2,1.7000000476837158
CO,68,408,338-9398,no,no,0,237.10000610351562,105,40.310001373291016,223.5,105,19,97.4000015258789,79,4.380000114440918,13.199999809265137,2,3.559999942779541
NH,64,408,394-2445,no,yes,27,182.10000610351562,91,30.959999084472656,169.6999969482422,98,14.420000076293945,164.6999969482422,86,7.409999847412109,10.600000381469727,5,2.859999895095825
NM,25,415,381-2709,no,no,0,119.30000305175781,87,20.280000686645508,211.5,101,17.979999542236328,268.8999938964844,86,12.100000381469727,10.5,4,2.8399999141693115
OR,65,415,397-5060,no,no,0,116.80000305175781,87,19.860000610351562,178.89999389648438,93,15.210000038146973,182.39999389648438,150,8.210000038146973,14.100000381469727,2,3.809999942779541
LA,179,408,415-2393,no,no,0,219.1999969482422,92,37.2599983215332,149.39999389648438,125,12.699999809265137,244.6999969482422,104,11.010000228881836,6.099999904632568,5,1.649999976158142
MI,127,415,401-3170,no,no,0,202.10000610351562,103,34.36000061035156,229.39999389648438,86,19.5,195.1999969482422,113,8.779999732971191,11.5,3,3.109999895095825
AR,116,408,405-5681,no,no,0,173.5,93,29.5,194.10000610351562,76,16.5,208,112,9.359999656677246,16.200000762939453,10,4.369999885559082
KS,70,408,411-4582,no,no,0,232.10000610351562,122,39.459999084472656,292.29998779296875,112,24.850000381469727,201.1999969482422,112,9.050000190734863,0,0,0
WV,94,510,355-5009,yes,yes,23,197.10000610351562,125,33.5099983215332,214.5,136,18.229999542236328,282.20001220703125,103,12.699999809265137,9.5,5,2.569999933242798
AK,126,415,372-3750,no,no,0,58.20000076293945,94,9.890000343322754,138.6999969482422,118,11.789999961853027,136.8000030517578,91,6.159999847412109,11.899999618530273,1,3.2100000381469727
NY,67,408,405-2888,no,yes,36,115.5999984741211,111,19.649999618530273,237.6999969482422,94,20.200000762939453,169.89999389648438,103,7.650000095367432,9.899999618530273,12,2.6700000762939453
NM,73,415,333-3221,no,no,0,214.3000030517578,145,36.43000030517578,268.5,135,22.81999969482422,241.1999969482422,92,10.850000381469727,10.800000190734863,13,2.9200000762939453
NY,106,408,422-1471,no,no,0,158.6999969482422,74,26.979999542236328,64.30000305175781,139,5.46999979019165,198.5,103,8.930000305175781,10.199999809265137,4,2.75
AZ,93,415,399-7865,no,no,0,271.6000061035156,71,46.16999816894531,229.39999389648438,108,19.5,77.30000305175781,121,3.4800000190734863,10.899999618530273,3,2.940000057220459
WY,164,510,373-4819,no,no,0,160.60000610351562,111,27.299999237060547,163.1999969482422,126,13.869999885559082,187.10000610351562,112,8.420000076293945,9,3,2.430000066757202
KY,80,408,375-3586,no,no,0,209.89999389648438,74,35.68000030517578,195.10000610351562,77,16.579999923706055,208.1999969482422,119,9.369999885559082,8.800000190734863,4,2.380000114440918
MT,94,415,407-8376,no,no,0,137.5,118,23.3799991607666,203.1999969482422,88,17.270000457763672,150,131,6.75,13.399999618530273,2,3.619999885559082
MD,117,415,385-7688,no,yes,23,198.10000610351562,86,33.68000030517578,177,86,15.050000190734863,180.5,92,8.119999885559082,6.800000190734863,6,1.840000033378601
TX,208,510,378-3625,no,no,0,326.5,67,55.5099983215332,176.3000030517578,113,14.989999771118164,181.6999969482422,102,8.180000305175781,10.699999809265137,6,2.890000104904175
ME,131,510,353-7292,yes,yes,26,292.8999938964844,101,49.790000915527344,199.6999969482422,97,16.969999313354492,255.3000030517578,127,11.489999771118164,13.800000190734863,7,3.7300000190734863
DC,63,408,399-6786,no,no,0,83,64,14.109999656677246,177,106,15.050000190734863,245.6999969482422,89,11.0600004196167,13,3,3.509999990463257
MN,53,415,358-3261,no,yes,24,145.6999969482422,146,24.770000457763672,220.5,136,18.739999771118164,249.89999389648438,96,11.25,13.100000381469727,5,3.5399999618530273
DE,62,408,377-9932,no,no,0,182.3000030517578,101,30.989999771118164,328.20001220703125,93,27.899999618530273,245,131,11.029999732971191,11.199999809265137,1,3.0199999809265137
MD,97,415,397-4030,no,no,0,218,86,37.060001373291016,184,94,15.640000343322754,240.5,110,10.819999694824219,6.400000095367432,8,1.7300000190734863
WA,157,415,341-8467,no,no,0,152.6999969482422,105,25.959999084472656,257.5,80,21.889999389648438,198.10000610351562,93,8.90999984741211,9.399999618530273,4,2.5399999618530273
MO,66,415,339-9453,no,yes,36,106.69999694824219,76,18.139999389648438,209.8000030517578,77,17.829999923706055,190.39999389648438,117,8.569999694824219,12.100000381469727,2,3.2699999809265137
IN,122,415,344-3388,no,no,0,243.8000030517578,98,41.45000076293945,83.9000015258789,72,7.130000114440918,179.8000030517578,84,8.09000015258789,13.699999809265137,8,3.700000047683716
MD,106,510,408-4142,no,no,0,213.89999389648438,95,36.36000061035156,151.89999389648438,70,12.90999984741211,260.1000061035156,124,11.699999809265137,12.199999809265137,5,3.2899999618530273
RI,99,510,386-3671,no,no,0,217.1999969482422,112,36.91999816894531,246.6999969482422,89,20.969999313354492,226.10000610351562,89,10.170000076293945,15.800000190734863,7,4.269999980926514
AZ,144,510,346-7795,yes,no,0,203.5,100,34.599998474121094,247.60000610351562,103,21.049999237060547,194.3000030517578,94,8.739999771118164,11.899999618530273,11,3.2100000381469727
LA,93,415,337-9345,no,no,0,179.3000030517578,93,30.479999542236328,178.60000610351562,98,15.180000305175781,225.1999969482422,131,10.130000114440918,11.5,6,3.109999895095825
FL,93,415,328-6770,no,no,0,151.39999389648438,89,25.739999771118164,186.39999389648438,76,15.84000015258789,172.5,120,7.760000228881836,10.899999618530273,3,2.940000057220459
FL,120,415,380-7321,no,no,0,180,80,30.600000381469727,224.1999969482422,82,19.059999465942383,265.3999938964844,91,11.9399995803833,4.699999809265137,7,1.2699999809265137
MD,136,415,375-1476,no,no,0,250.1999969482422,121,42.529998779296875,267.1000061035156,118,22.700000762939453,151,114,6.800000190734863,13,2,3.509999990463257
WA,81,415,422-6685,no,no,0,183.60000610351562,116,31.209999084472656,152.60000610351562,98,12.970000267028809,212.1999969482422,99,9.550000190734863,12.199999809265137,6,3.2899999618530273
MS,65,415,343-2095,no,no,0,136.10000610351562,112,23.139999389648438,272.8999938964844,96,23.200000762939453,220.1999969482422,104,9.90999984741211,4.400000095367432,2,1.190000057220459
IN,65,415,388-9568,no,no,0,213.39999389648438,111,36.279998779296875,234.5,94,19.93000030517578,250.10000610351562,123,11.25,2.700000047683716,4,0.7300000190734863
MO,123,415,402-6591,no,no,0,206.89999389648438,85,35.16999816894531,244.6999969482422,78,20.799999237060547,221.5,136,9.970000267028809,7.699999809265137,2,2.0799999237060547
KY,45,415,378-5692,no,yes,22,196.60000610351562,84,33.41999816894531,313.20001220703125,92,26.6200008392334,163.3000030517578,108,7.349999904632568,11.899999618530273,3,3.2100000381469727
MD,93,408,360-3324,yes,no,0,312,109,53.040000915527344,129.39999389648438,100,11,217.60000610351562,74,9.789999961853027,10.5,2,2.8399999141693115
OK,100,415,352-4221,no,no,0,203.10000610351562,96,34.529998779296875,217,126,18.450000762939453,180.89999389648438,122,8.140000343322754,13.5,2,3.6500000953674316
MN,139,510,374-9107,no,no,0,134.39999389648438,106,22.850000381469727,211.3000030517578,98,17.959999084472656,193.60000610351562,125,8.710000038146973,10.199999809265137,2,2.75
SD,110,408,357-4078,no,yes,40,202.60000610351562,103,34.439998626708984,118.80000305175781,128,10.100000381469727,234.89999389648438,98,10.569999694824219,9,9,2.430000066757202
IL,110,408,366-5780,no,no,0,74.5,117,12.670000076293945,200.8000030517578,98,17.06999969482422,192.1999969482422,101,8.649999618530273,9.800000190734863,7,2.6500000953674316
AL,73,415,355-9295,no,no,0,192.1999969482422,86,32.66999816894531,168.60000610351562,116,14.329999923706055,139.8000030517578,87,6.289999961853027,9.399999618530273,6,2.5399999618530273
IN,36,415,405-8867,no,no,0,253.39999389648438,77,43.08000183105469,182.39999389648438,151,15.5,275.79998779296875,103,12.40999984741211,8.399999618530273,2,2.2699999809265137
VA,108,408,335-1697,no,no,0,198.5,99,33.75,267.79998779296875,60,22.760000228881836,354.8999938964844,75,15.970000267028809,9.399999618530273,3,2.5399999618530273
SC,22,408,331-5138,no,no,0,110.30000305175781,107,18.75,166.5,93,14.149999618530273,202.3000030517578,96,9.100000381469727,9.5,5,2.569999933242798
